Key,en,ar,he
RN_OPENING_SCREEN_HEADER,Neuron Under Construction,خلايا عصبية قيد الإنشاء,כאן בונים נוירון
RN_OPENING_SCREEN_SUB_HEADER,You are invited to reconstruct your own neuron,أنتم مدعوون لبناء الخلية العصبية الخاصة بكم,אתם מוזמנים לבנות נוירון משלכם
RN_OPENING_SCREEN_BUTTON_TEXT,Start,ابدأوا,התחילו
RN_CHOOSE_NEURON_INSTRUCTION,Select a neuron and reconstruct it as an active 3D model,اختاروا الخلية العصبية وقوموا ببنائها كنموذج ثلاثي الأبعاد فعّال,בחרו נוירון ובנו אותו כמודל תלת ממדי פעיל
RN_CHOOSE_NEURON_SELECT_BUTTON_TEXT,Select,اختاروا,בחרו
RN_CHOOSE_NEURON_PYRAMIDAL_NAME,Pyramidal Cell,خلية هرمية (Pyramidal Cell),תא פירמידלי (Pyramidal Cell)
RN_CHOOSE_NEURON_BASKET_NAME,Basket Cell,خلية السلة (Basket Cell),תא סל (Basket Cell)
RN_CHOOSE_NEURON_MARTINOTTI_NAME,Martinotti Cell,خلية مارتينوتي (Martinotti Cell),תא מארטינוטי (Martinotti Cell)
RN_CHOOSE_NEURON_PYRAMIDAL_DESC,"Named after the pyramid shape of its body,
the most common cell type in the cerebral
cortex. The cell increases the activity of the
cells it communicates with (Excitatory cell).","الخلية، الّتي جسمها يشبه الهرم،
هي الأكثر شيوعًا في قشرة الدماغ،
وتزيد من نشاط الخلايا الّتي تتواصل
معها (خلية مُحفزة)","התא, שגופו בצורת פירמידה, הוא הנפוץ
ביותר בקליפת המוח, ומגביר את
פעילותם של התאים איתם הוא
מתקשר (תא מעורר)."
RN_CHOOSE_NEURON_BASKET_DESC,"Surrounds like a basket the body of the cells it
communicates with and decreases their activity.
(Inhibitory cell).","الخلية تحيط على شكل سلة أجسام
الخلايا الّتي تتواصل معها وتُقّلل من
نشاطها (خلية مثبطة). ","התא מקיף בצורת סל את גופי
התאים איתם הוא מתקשר ומקטין את
פעילותם (תא מעכב)."
RN_CHOOSE_NEURON_MARTINOTTI_DESC,"A small cell with short branches. Named
after the scientist who discovered it. The
cell decreases the activity of the cells it
communicates with (Inhibitory cell).","خلية صغيرة ذات امتدادات قصيرة
تحمل اسم العالم الذي اكتشفها، وتُقلل
من نشاط الخلايا الّتي تتواصل
معها (خلية مثبطة).","תא קטן בעל שלוחות קצרות הקרוי
על שם המדען שגילה אותו,
ומקטין את פעילותם של התאים איתם
הוא מתקשר (תא מעכב)."
RN_DRAWING_SCREEN_NEURON_INSTRUCTION,Follow the dotted line with your finger to reconstruct the neuron,قوموا بالتأشير بالإصبع على الخط المتقطع لبناء الخلية العصبية,סמנו עם האצבע את הקו המקווקו כדי לבנות את הנוירון
RN_DRAWING_SCREEN_LIGHTNING_INSTRUCTION,"Great, you reconstructed a 3D model of the cell structure.
Press on the lightning and activate the cell","رائع، لقد قمتم بإنشاء نموذج ثلاثي الأبعاد للخلية..
اضغطوا على البرق وشغّلوا الخلايا العصبية","נהדר, יצרתם מודל תלת ממדי של התא.
לחצו על הברק והפעילו את הנוירון"
RN_DRAWING_SCREEN_3D_MODEL_EXPLANATION,"Reconstructing the cell structure:
In this stage you marked a real
neuron in a biological brain slice.
Based on your marking, the
computer created a digital
structure of the neuron.","مرحلة إعادة بناء الخلية:
في هذه المرحلة قمتم بالإشارة الى خلية
حقيقية في أنسجة الدماغ البيولوجية.
استنادًا إلى إشارتكم، أنشأ الحاسوب
بنية رقمية لخلية عصبية..","שחזור מבנה התא:
בשלב זה סימנתם תא אמיתי
ברקמת מוח ביולוגית.
על בסיס הסימון שלכם, המחשב יצר
מבנה דיגיטלי של תא עצב."
RN_DRAWING_SCREEN_LIGHTNING_EXPLANATION,"Activating the cell:
In this stage you added electricity
to the structure of the digital cell
and activated it.","تنشيط الخلية:
في هذه المرحلة، أدخلتم الكهرباء
الى مبنى الخلية، مما يجعل النموذج
الرقمي فعالًا.","הפעלת התא:
בשלב זה הכנסתם חשמל אל מבנה
התא ובכך הפכתם את המודל
הדיגיטלי לפעיל."
RN_DRAWING_SCREEN_CONTINUE_BUTTON_TEXT,Next,التالي,הבא
RN_SUMMARY_SCREEN_HEADER,Congratulations!,كل الاحترام!,כל הכבוד!
RN_SUMMARY_SCREEN_SUB_HEADER,You have reconstructed an active 3D model of a nerve cell,لقد بنيتم نموذجًا ثلاثي الأبعاد فعّال لخلية عصبية، عصبون!,"בניתם מודל תלת ממדי פעיל של תא עצב, נוירון"
RN_SUMMARY_SCREEN_SUMMARY_HEADER,Why do we need to model a cell?,لماذا نحتاج الى نمذجة الخلية؟,בשביל מה יש לבנות מודל של תא?
RN_SUMMARY_SCREEN_SUMMARY_TEXT,"The brain is composed by cells. After modeling many cells, we can create a whole digital brain, and perform experiments
on it that cannot be done on humans. For instance, we can cause the digital brain to have the Alzheimer's disease, and
then we can discover what the brain activity is during the disease. Hopefully, a digital model of the brain will provide the
breakthrough to develop medication that will change the lives of many patients.","يتكون الدماغ من الخلايا. بعد بناء النماذج لأنواع مختلفة من الخلايا، يمكن إنشاء نموذج محوسب
للدماغ بأكمله. على هذا الدماغ، يمكن إجراء تجارب لا يمكن إجراؤها على أناس حقيقيين. على سبيل المثال، يمكننا أن نتسبب في
إصابة الدماغ الرقمي بمرض الزهايمر، ومن ثم يمكننا اكتشاف نشاط الدماغ أثناء المرض. قد يوفر
نموذج رقمي للدماغ إبتكار لتطوير الأدوية الّتي من شأنها أن تغير حياة الكثير من المرضى...:","המוח מורכב מתאים. לאחר שבונים מודלים של תאים רבים, אנו יכולים ליצור מוח דיגיטלי
שלם ועליו ניתן לעשות ניסויים שאי אפשר לעשות על בני אדם. למשל, אפשר לגרום למוח הדיגיטלי 'לחלות' במחלת אלצהיימר,
ולבדוק מה מתרחש בתוך המוח תוך כדי המחלה. יתכן שמודל דיגיטלי של המוח יספק
פריצת דרך לפיתוח תרופות שישנו את חייהם של חולים רבים.."
RN_SUMMARY_SCREEN_DRAWING_TEXT,Brain cell tissue,الخلية في أنسجة الدماغ,התא ברקמת המוח
RN_SUMMARY_SCREEN_MODELING_TEXT,Reconstructing the cell structure,مرحلة إعادة بناء الخلية,שחזור מבנה התא
RN_SUMMARY_SCREEN_ELECTRIFY_TEXT,Activating the cell,تنشيط الخلية,הפעלת התא
RN_SUMMARY_SCREEN_ANOTHER_NEURON_BUTTON_TEXT,Reconstruct another cell,أبنوا خلية أخرى,בנו תא נוסף
DFAM_OPENING_SCREEN_HEADER,Doctor for a moment,طبيب للحظة,דוקטור לרגע
DFAM_OPENING_SCREEN_SUB_HEADER,"You have an opportunity to be a doctor
Tap the button and meet your new patient","لديكم الفرصة لأن تصبحوا أطباء
اضغطوا على الزّر وتعرفوا على مريضكم الجديد","יש לכם הזדמנות להיות רופאים
לחצו על הכפתור, והכירו את המטופל החדש שלכם"
DFAM_OPENING_SCREEN_BUTTON_TEXT,Start,إبدأوا,התחילו
DFAM_EXP_SCREEN_BUTTON_TEXT,Continue,إستمروا,המשיכו
DFAM_EXP_SCREEN_HEADER_TEXT,"Your new patient describes a state of confusion and
forgetfulness. Does she have Alzheimer’s disease?","يصف المريض حالة من الارتباك والنسيان.
هل لديه مرض الزهايمر؟","המטופל שלכם מתאר מצב של בלבול ושכחה.
האם יש לו אלצהיימר?"
DFAM_EXP_SCREEN_INFO_TEXT,"To diagnose him, you need to carry out a number of tests.
In Alzheimer’s the neurons in the brain die gradually, causing damage to
cognitive abilities such as memory, orientation, and more.","يجب عليكم إجراء العديد من الاختبارات لتشخيص حالته.
في مرض الزهايمر، تموت الخلايا العصبية في الدماغ تدريجيًا، وتُسّبب الضرر في
القدرات الإدراكية مثل الذاكرة والتوجه المكاني وعمليات التفكير وما إلى ذلك.","עליכם לבצע מספר בדיקות על מנת לאבחן את מצבו.
במחלת אלצהיימר תאי עצב במוח מתים בהדרגה,
וגורמים לפגיעה ביכולות קוגניטיביות כמו זיכרון,
התמצאות במרחב ועוד."
DFAM_CHOOSE_TEST_INSTRUCTION,Select the test you wish to conduct on the patiant,حددوا الاختبار الذي تريدون القيام به للمريض,בחרו את הבדיקה שברצונכם לבצע במטופל
DFAM_CHOOSE_TEST_SELECT_BUTTON_TEXT,Run test,قوموا باجراء تجربة,בצעו בדיקה
DFAM_COGNITIVE_TEST_NAME,Cognitive tests,الاختبار المعرفي,בדיקה קוגניטיבית
DFAM_COGNITIVE_TEST_DESC,"Cognitive tests are a list of tasks testing the
performance of various brain functions","الاختبارات المعرفية هي سلسلة من المهام الّتي
تأتي للتحقق من صحة قدرات الدماغ المختلفة.","בדיקות קוגניטיביות הן שורה של משימות הבאות לבדוק
את תקינות יכולות המוח השונות."
DFAM_PET_TEST_NAME,PET test,اختبار ال PET,בדיקת PET
DFAM_PET_TEST_DESC,"A PET (Positron Emission Tomography) test is a
scan of the brain measuring the concentration of
particular substances. For instance, a PET scan can
search for beta-amyloid plaques, which are
common only among Alzheimer’s patients.","اختبار PET (Positron Emission Tomography)
التصوير المقطعي بالإصدار البوزيتروني- هو مسح للدماغ
والبحث عن مادة معينة بداخله. على سبيل المثال، يمكن
البحث في مسح PET على مجموعات بيتا
أميلويد، الشائعة جدًا فقط عند مرضى الزهايمر.","בדיקת PET (Positron Emission Tomography)
היא סריקה של המוח המאתרת חומר מסוים,
כדוגמת בטא עמילואיד הנפוץ אצל
חולי אלצהיימר."
DFAM_MRI_TEST_NAME,MRI test,اختبار ال MRI,בדיקת MRI
DFAM_MRI_TEST_DESC,"An MRI (Magnetic Resonance Imaging) test is
a scan of the brain using radio waves and a
strong magnetic field. The scan creates an
image of the brain and the state it is in.","اختبار التصوير بالرنين المغناطيسي
(MRI) (Magnetic Resonance Imaging) هو مسح للدماغ
باستخدام الإشعاع اللاسلكي ومجال
مغناطيسي قوي. ينتج المسح صورة توضح
كيف يبدو الدماغ وما يحدث فيه.","בבדיקת MRI (Magnetic Resonance Imaging)
סורקים את המוח בעזרת קרינת רדיו
ושדה מגנטי חזק ומייצרים הדמיה
של מבנה המוח."
DFAM_TEST_IN_PROGRESS_HEADER_MRI,An MRI scan is taking place,يتم إجراء اختبار ال MRI (التصوير بالرنين المغناطيسي),מתבצעת בדיקת MRI
DFAM_TEST_IN_PROGRESS_HEADER_PET,A PET scan is taking place,يتم إجراء اختبار PET,מתבצעת בדיקת PET
DFAM_TEST_IN_PROGRESS_HEADER_COGNITIVE,A cognitive test is taking place,يتم إجراء الاختبار المعرفي,מתבצעת בדיקה קוגניטיבית
DFAM_TEST_IN_PROGRESS_SUB_HEADER_MRI,Follow the process on the patient model,اتبعوا عملية الاختبار على نموذج المريض,עקבו בדגם אחר התנהלות הבדיקה
DFAM_TEST_IN_PROGRESS_SUB_HEADER_PET,Follow the process on the patient model,اتبعوا عملية الاختبار على نموذج المريض,עקבו בדגם אחר התנהלות הבדיקה
DFAM_TEST_RESULTS_HEADER_COGNITIVE,Cognitive test results,نتيجة الاختبار المعرفي,תוצאת הבדיקה הקוגניטיבית
DFAM_TEST_RESULTS_HEADER_PET,PET test results,نتيجة اختبار PET,תוצאת בדיקת PET
DFAM_TEST_RESULTS_HEADER_MRI,MRI test results,نتيجة فحص التصوير بالرنين المغناطيسي (MRI),תוצאת בדיקת MRI
DFAM_TEST_RESULTS_DESC_COGNITIVE,"Drawing a clock requires mental abilities that are damaged by Alzheimer’s, such as
management, understanding numbers, knowledge retrieval and more.","يتطلب رسم ساعة قدرات دماغية الّتي تتضرر في مرض الزهايمر
مثل الإدارة والفهم العددي واسترجاع المعرفة والمزيد.","ציור שעון מצריך יכולות מוחיות שנפגעות באלצהיימר
כמו ניהול, הבנה מספרית, שליפת ידע ועוד."
DFAM_TEST_RESULTS_DESC_PET,"Brains of Alzheimer’s patients show many plaques of beta-amyloid protein that are not found
in the brains of healthy people. If we mark these plaques with radioactive materials and
conduct a PET scan, we would expect to see many areas with high concentration (in red and yellow).","في أدمغة مرضى الزهايمر، هناك العديد من مجموعات بروتين بيتا
اميلويد، والّتي لا توجد في أدمغة الأشخاص الأصحاء. إذا وضعنا
علامة على هذه المجموعات باستخدام المواد المشّعة وأجرينا مسح PET،
فسنرى العديد من المناطق الّتي تكون فيها تركيزات هذه المجموعات عالية (باللون الأحمر).","במוחם של חולי אלצהיימר מופיעים הרבה מאוד צברים
של החלבון בטא עמילואיד, אשר לא נמצאים במוחם של אנשים בריאים.
אם נסמן את הצברים האלה בעזרת חומר רדיואקטיבי ונבצע סריקת PET,
נצפה לראות הרבה אזורים שבהם ריכוז הצברים גבוה (בצהוב ואדום)."
DFAM_TEST_RESULTS_DESC_MRI,"In Alzheimer disease, cells die throughout the brain and the
brain tissue becomes ‘thin’, containing less and less cells (and
more and more ‘black’ fissures in the brain).","في خلايا مرض الزهايمر تموت خلايا الدماغ في
جميع أنحاءه، لذلك تصبح أنسجة الدماغ أرق وأرق مع خلايا
أقّل وأقّل (وأكثر فتحات ""سوداء"" في الدماغ).","במחלת אלצהיימר תאים בכל רחבי המוח מתים,
ולכן רקמת המוח הופכת לדלילה ו""רזה"" עם פחות
ופחות תאים (ויותר חריצים ""שחורים"" בתוך המוח)."
DFAM_TEST_RESULTS_MORE_TESTS_BUTTON_TEXT,Run more tests,قوموا باجراء تجربة أخرى,בצעו בדיקות נוספות
DFAM_TEST_RESULTS_HEALTHY_HEADER,Healthy patient,مُعالج سليم,מטופל בריא
DFAM_TEST_RESULTS_RESULTS_HEADER,Test result,نتيجة الاختبار,תוצאת הבדיקה
DFAM_CHOOSE_TEST_DONE_SELECT_BUTTON_TEXT,See results,انظروا النتيجة,צפו בתוצאות
DFAM_DIAGNOSE_BUTTON_TEXT,Diagnose,أعطوا تشخيصًا,תנו אבחנה
DFAM_DIAGNOSE_YES_BUTTON_TEXT,Yes,نعم,כן
DFAM_DIAGNOSE_NO_BUTTON_TEXT,No,لا,לא
DFAM_DIAGNOSE_QUESTION_TEXT,Does the patient have Alzheimer’s?,هل يعاني المريض من مرض الزهايمر؟,האם המטופל סובל מאלצהיימר?
DFAM_EVALUATION_SCREEN_CORRECT_HEADER,The diagnosis is correct,التشخيص صحيح,האבחנה נכונה
DFAM_EVALUATION_SCREEN_INCORRECT_HEADER,"The diagnosis is incorrect, please try again",التشخيص غير صحيح، حاولوا مرة أخرى,"האבחנה אינה נכונה, נסו שוב"
DFAM_EVALUATION_SCREEN_HEALTHY_HEADER,The patient does not have Alzheimer’s,لا يعاني المريض من مرض الزهايمر,למטופל אין אלצהיימר
DFAM_EVALUATION_SCREEN_NOT_HEALTHY_HEADER,The patient has Alzheimer’s,المريض لديه مرض الزهايمر,למטופל יש אלצהיימר
DFAM_EVALUATION_ANOTHER_PATIENT_TEXT,Accept the next patient,أدخلوا المريض التالي,קבלו את המטופל הבא
DFAM_EVALUATION_LEARN_MORE_TEXT,Learn more,لمزيد من المعلومات,מידע נוסף
DFAM_LEARN_MORE_BACK_BUTTON_TEXT,Back,عودة,אחורה
DFAM_LEARN_MORE_HEALTHY_DESC_TEXT,"The tests do not seem to indicate the patient
has Alzheimer’s.
The MRI scan shows a normal brain. In Alzheimer’s,
cells die throughout the brain so that the brain tissue
becomes thin, unlike the case of our patient.

Many abilities related to drawing a clock, such as
knowledge retrieval and management, are impaired in
Alzheimer’s patients. However, our patient was able
to draw a clock properly.

The PET scan indicating beta-amyloid plaques very
common among Alzheimer’s patients (but not in healthy
brains) showed no red concentrations at all.
Meaning, there are no beta-amyloid plaques in our
patient’s brain, as opposed to what we would expect
to find in an Alzheimer’s patient.","وفقًا للاختبارات، لا يبدو أن المريض مصاب بمرض الزهايمر.

في اختبار التصوير بالرنين المغناطيسي(MRI)، يبدو دماغه طبيعياً.
في الزهايمر خلايا في جميع أنحاء الدماغ تموت،
وبالتالي فإن أنسجة الدماغ قليلة للغاية، على عكس المريض.

هناك العديد من القدرات المرتبطة برسم الساعة،
مثل استرجاع المعرفة والمهارات الإدارية ، تتضرر عند مرضى
الزهايمر، لكن مع ذلك، نجح المريض في رسم الساعة بشكل جميل.

لم يُظهر مسح PET الذي وضع علامة على مجموعات بيتا أميلويد 
الشائعة جدًا في أدمغة مرضى الزهايمر (ولكن ليس في أدمغة الأصحاء)
أيّ مناطق حمراء على الإطلاق، مما يعني أن دماغ المريض لا يحتوي على
تركيزات عالية من بيتا أميلويد، على عكس ما لوحظ في مرضى الزهايمر.","לפי הבדיקות לא נראה שלחולה יש אלצהיימר.

בבדיקת ה-MRI המוח נראה תקין. באלצהיימר תאים בכל רחבי המוח מתים,
ולכן רקמת המוח מאוד דלילה, שלא כמו אצל החולה.

יכולות רבות שקשורות בציור שעון, כמו שליפת ידע ויכולות ניהול,
נפגעות אצל חולי אלצהיימר,
אך עם זאת החולה הצליח לצייר שעון תקין.

סריקת ה-PET שסימנה את צברי הבטא עמילואיד הנפוצים מאוד
במוחם של חולי אלצהיימר (אך לא במוחם של בריאים),
לא הראתה אזורים אדומים כלל, כלומר במוחו של החולה אין
ריכוזים גבוהים של בטא עמילואיד, בניגוד למה שנצפה מחולה אלצהיימר."
DFAM_LEARN_MORE_NOT_HEALTHY_DESC_TEXT,"Our patient does have Alzheimer’s.
The MRI scan showed that the brain tissue is very thin
because of the extensive death of neuron cells that
takes place in Alzheimer’s disease.

The death of the cells damages various brain abilities
such as management and knowledge retrieval. 
For this reason the patient was unable to draw
a clock properly.

The PET scan marked plaques of beta-amyloid that
are very common in Alzheimer’s patients (but not in
healthy brains), showing many red and yellow concentrations.
These areas show a high concentration of
beta-amyloid.","مريضنا لديه بالفعل مرض الزهايمر.

أظهر التصوير بالرنين المغناطيسي (MRI) أن أنسجة الدماغ
رقيقة للغاية، والسبب في ذلك هو موت الخلايا العصبية
على نطاق واسع الذي يحدث في مرض الزهايمر.

`لأن الخلايا تموت، فإن قدرات الدماغ المختلفة تتضرر،
مثل قدرات الإدارة واسترجاع المعرفة. لهذا السبب
لم ينجح المريض في رسم ساعة بشكل صحيح.

مسح ال- PET الذي وضع علامة على مجموعات بيتا اميلويد
الّتي هي شائعة جدًا في أدمغة مرضى الزهايمر (ولكن ليس في الأصحاء)،
أظهر العديد من المناطق الحمراء. تحتوي هذه المناطق على نسبة عالية
من الأميلويد بيتا، كما هو معتاد بالنسبة لمرضى الزهايمر.","לחולה שלנו אכן יש אלצהיימר.
בבדיקת ה-MRI היה אפשר לראות כי רקמת המוח מאוד דלילה,
הסיבה לכך היא מוות בהיקף נרחב של תאי העצב המתרחש במחלת אלצהיימר.

בגלל מוות התאים, יכולות שונות של המוח נפגעות,
כמו יכולות ניהול ושליפת ידע.
מסיבה זו החולה לא הצליח לצייר שעון תקין.

סריקת ה-PET שסימנה את צברי הבטא עמילואיד הנפוצים מאוד
במוחם של חולי אלצהיימר (אך לא במוחם של בריאים),
הראתה אזורים אדומים וצהובים רבים.
באזורים אלו יש ריכוז גבוה של בטא עמילואיד."
OS_HBP_TEXT,"About the
Human Brain Project","حول مشروع
الدماغ البشري","אודות פרויקט
המוח האנושי"
OS_WHAT_IS_THE_QUESTION_TEXT,"What's the question?!
Conversations of young
researchers","ما هو السؤال؟
الباحثون الشباب
يتحدثون","מה השאלה?
חוקרים צעירים
משוחחים"
OS_CAJAL_TEXT,Santiago Ramón y Cajal,"سانتياغو رامون
أي كاجال",סנטיאגו רמון אי קחאל
OS_MAP_TEXT,"The Human Brain Project
in Europe"," مشروع الدماغ البشري
في أوروبا","פרויקט המוח האנושי
באירופה"
OS_BRAIN_STRUCTURES_MAP_TEXT,"Brain structures
Laboratory findings","مباني في الدماغ
نتائج من المختبر","מבנים במוח
ממצאים מהמעבדה"
OS_10_QUESTIONS_TEXT,"10 unanswered questions
about the human brain","10 أسئلة لم تحل
حول الدماغ البشري","10 שאלות לא פתורות
על המוח האנושי"
OS_DANCING_NEURON_TEXT,"The Electrically
Dancing Neuron","العصبون الكهربائي
الراقص","הנוירון החשמלי
המרקד"
OS_MTB_TEXT,Credits,ائتمانات,קרדיטים
OS_MAP_SELECT_DOT_INSTRUCTIONS,Select any dot on the map to learn more,حددوا نقطة على الخريطة لمزيد من المعلومات,בחרו נקודה על המפה למידע נוסף
OS_MAP_PLAY_VIDEO_BUTTON_TEXT,Play video,شغلوا الفلم,נגנו סרט
OS_MAP_P1_NAME,"The Federal Institute of Technology
in Lausanne","المعهد الفيدرالي السويسري
للتكنولوجيا لوزان","המכון הפדרלי השוויצרי
לטכנולוגיה לוזאן"
OS_MAP_P1_CITY,"Lausanne, Switzerland",لوزان، سويسرا,"לוזאן, שוויץ"
OS_MAP_P2_NAME,Aalto University Foundation,مؤسسة جامعة ألتو,קרן אוניברסיטת אלטו
OS_MAP_P2_CITY,"Espoo, Finland",إسبو، فنلندا,"אספו, פינלנד"
OS_MAP_P3_NAME,"University Hospital Leiden -
Leiden University Medical Center","مستشفى ليدن
الجامعي","בית החולים האוניברסיטאי
ליידן"
OS_MAP_P3_CITY,"Leiden, The Netherlands",لايدن، هولندا,"ליידן, הולנד"
OS_MAP_P4_NAME,Athens University of Economics and Business,جامعة أثينا للاقتصاد والأعمال,אוניברסיטת אתונה לכלכלה ועסקים
OS_MAP_P4_CITY,"Athens, Greece",أثينا، يونان,"אתונה, יוון"
OS_MAP_P4_DESC,"The Data Science group at the AUEB conducts
research on and builds services for aligning,
cleaning, integrating, and enriching clinical
data from participating hospitals so as to be
imported to the Medical Informatics Platform
of the HBP. The group also works on Big Data
processing and Data Management for Machine
Learning.","تعمل مجموعة علوم البيانات بجامعة أثينا
للاقتصاد والأعمال في بحث وتطوير خدمات
لملائمة، تحسين ودمج وإثراء البيانات
الطبية في المستشفيات المشاركة لكي يكون بالإمكان
استيراد هذه البيانات إلى منصة المعلومات
الطبية للمشروع. بالإضافة إلى ذلك، تتعامل
المجموعة مع معالجة البيانات الضخمة (Big Data)
وإدارة البيانات لاستخدامها في التعلم الآلي.","קבוצת מדעי הנתונים באוניברסיטת אתונה
לכלכלה ועסקים עוסקת במחקר ובפיתוח שירותים
להתאמה, טִיּוּב, הטמעה והעשׁרה של נתונים
רפואיים מבתי החולים המשתתפים כדי שאפשר יהיה
לייבא נתונים אלה אל פלטפורמת האינפוֹרמטיקה
הרפואית של הפרויקט. כמו כן הקבוצה עוסקת
בעיבוד נתוני עָתֵק (Big Data)
ובניהול מידע לשימוש בלמידת מכוֹנה."
OS_MAP_P5_NAME,National Supercomputing Center,المركز الوطني للحوسبة الفائقة,המרכז הלאומי למחשבי-על
OS_MAP_P5_CITY,"Barcelona, Spain",برشلونة، اسبانيا,"ברצלונה, ספרד"
OS_MAP_P5_DESC,"BSC is the Spanish National facility for
supercomputing, specializes in High Performance
Computing and hosts MareNostrum, one of the most
powerful supercomputers in Europe. BSC contributes
towards the creation of the HPAC Platform,
providing supercomputing capacities for the
Neuroscience Community and developing the FENIX
infrastructure for the benefit of HBP users.","يُعد المركز بمثابة السلطة الوطنية الإسبانية
لأجهزة الكمبيوتر العملاقة. إنه متخصص في
أجهزة الكمبيوتر الّتي تتمتع بقدرات أداء
عالية جدًا ويتم فيه تطوير ""مارينوستروم- MareNostrum""،
أحد أقوى أجهزة الكمبيوتر العملاقة في أوروبا.
يساهم المركز بشكل كبير في ""مشروع الدماغ البشري""
من خلال إنشاء وتطوير بنية تحتية فائقة
الحوسبة لمجتمع باحثي الدماغ.","המרכז משמש כרשות הלאומית הספרדית למחשבי-על.
הוא מתמחה במחשבים עם יכולות ביצוע
גבוהות מאוד ובו מפותח ""מיירנוסטרום"",
אחד ממחשבי העל העוצמתיים ביותר באירופה.
המרכז תורם רבות ל'פרויקט המוח האנושי' באמצעות
יצירה ופיתוח של תשתיות מחשבי העל
עבור קהילת חוקרי המוח."
OS_MAP_P6_NAME,"Bauhaus University, Weimar",جامعة باوهاوس، فايمار,"אוניברסיטת באוהאוס, ויימר"
OS_MAP_P6_CITY,"Weimar, Germany",فايمار، ألمانيا,"ויימר, גרמניה"
OS_MAP_P7_NAME,The University of Wuppertal (BUW),جامعة فوبرتال,אוניברסיטת ווּפֶּרטָאל
OS_MAP_P7_CITY,"Wuppertal, Germany",فوبرتال، ألمانيا,"וופרטאל, גרמניה"
