Key,en,ar,he
OS_MAP_P7_DESC,"The High Performance Computing group at the BUW
works on the development and improvement of
numerical methods used in the simulation engines
that are developed in the HBP, such as the spiking
neural network simulator NEST. Present
achievements are the inclusion of gap junctions
and rate models in the NEST simulator.","تقوم مجموعة الحوسبة عالية الأداء في جامعة فوبرتال
بتطوير وتحسين الطرق العددية في محركات التصوير
الّتي يتم بنائها ضمن مشروع الدماغ البشري (HBP) مثل NEST-  آلية
لمحاكاة نبضات الجهاز العصبي. الانجازات الحالية
هي دمج ما بين الموصل الخلوي والنماذج على
جهاز المحاكاة NEST.","קבוצת המִחשוב עתיר-הביצועים באוניברסיטת ווּפֶּרטָאל
עוסקת בפיתוח ושיפור השיטות המספּריות
במנועי ההדמיה אשר נבנים במסגרת
פרויקט המוח האנושי (HBP) כגון NEST – מנגנון
להדמיית פעימוֹת (פּוּלְסִים) ברשת העצבים.
ההישגים הנוכחיים הם הכללה של צמתים
בּין-תאיים ומוֹדלים בסימולטור NEST."
OS_MAP_P8_NAME,The Bloomfield Science Museum Jerusalem (BSMJ),متحف العلوم على اسم بلومفيلد في القدس,"מוזיאון המדע ע""ש בלומפילד ירושלים"
OS_MAP_P8_CITY,"Jerusalem, Israel",القدس، اسرائيل,"ירושלים, ישראל"
OS_MAP_P8_DESC,"BSMJ is an informal cultural and educational
institution, serving all sectors of society. It
develops and creates interactive exhibitions
presenting science and technology, and integrates
them into a range of activities. In HBP, BSMJ
promotes ways to engage brain research to the
public such as developing an interactive traveling
exhibition.","المتحف هو مؤسسة ثقافية وتعليمية غير رسمية تخدم
جميع الشرائح السكانية. يقوم موظفي المتحف بتطوير
وإنشاء معارض تفاعلية في مجالات العلوم
والتكنولوجيا ودمجها في مجموعة واسعة من الأنشطة. كجزء
من مشروع الدماغ البشري، يطور المتحف طرقًا لتشجيع اهتمام
الجمهور ومشاركته في مجالات أبحاث الدماغ
مثل معرض تفاعلي متنقل.","המוזיאון הוא מוסד תרבותי וחינוכי בלתי-פורמלי
המשׁרת את כל פלחי האוכלוסייה.
צוות המוזיאון מְפַתֵּחַ ויוצר מיצגים
אינטראקטיביים בתחומי המדע והטכנולוגיה,
וּמְשַׁלֵּב אותם בקשת רחבה של פעילויות.
במסגרת פרויקט המוח האנושי המוזיאון
מְפתח דרכים לעודד את התעניינות הציבור
ומעורבותו בתחום חֵקֶר המוח כגון תערוכה
אינטראקטיבית נודדת."
OS_MAP_P9_NAME,Cardiff University,جامعة كارديف,אוניברסיטת קרדיף
OS_MAP_P9_CITY,"Cardiff, United Kingdom",كارديف، المملكة المتحدة,"קרדיף, בריטניה"
OS_MAP_P10_NAME,The Scientific Research National Center,المركز الوطني للبحث العلمي,המרכז הלאומי למחקר מדעי
OS_MAP_P10_CITY,"Paris, France",باريس، فرنسا,"פריז, צרפת"
OS_MAP_P11_NAME,"The Office of Atomic Energy and
Alternative Energies","وزارة الطاقة الذرية
والطاقة البديلة","משרד האנרגיה האטומית
והאנרגיות החלופיות"
OS_MAP_P11_CITY,"Paris, France",باريس، فرنسا,"פריז, צרפת"
OS_MAP_P12_NAME,The National Research Council,المجلس الوطني للبحوث,המועצה הלאומית למחקר
OS_MAP_P12_CITY,"Palermo, Italy", باليرمو، ايطاليا,"פלרמו, איטליה"
OS_MAP_P12_DESC,"The Institute of Biophysics of the National
Research Council is located in Palermo (Italy). In
HBP we are deeply involved in the development of a
detailed, data-driven, full scale 3D computational
model of the rodent and human hippocampus, and in
the implementation and management of the European
Brain Research Infrastructure.","يقع معهد الفيزياء الحيوية التابع للمجلس الوطني
للبحوث في مدينة باليرمو، ايطاليا. ضمن مشروع
الدماغ البشري، نعمل بشكل قوي على تطوير نموذج
مُحوسب، مُفصل وقائم على البيانات، بحجم طبيعي وثلاثي
الأبعاد للحصين في الدماغ البشري ودماغ القوارض
وكذلك في تطبيق وإدارة المبادئ الأوروبية
لأبحاث الدماغ (EBRA).","המכון לביופיזיקה של המועצה הלאומית
למחקר באיטליה שוֹכֵן בפאלרמו שבאיטליה.
במסגרת פרויקט המוח האנושי יש לנו
מעורבוּת עמוקה בפיתוח מודל ממוחשב, 
מפורט ומבוסס-נתונים, בגודל טבעי ובתלת-ממד,
של ההיפוֹקמפוֹס במוח האדם ובמוח מכרסמים,
וכן ביישׂום התשתית האירופית לחֵקֶר
המוח (EBRA) וניהולהּ."
OS_MAP_P13_NAME,The Italian Supercomputing Centre,مركز ايطاليا للحوسبة الفائقة,המרכז למִחְשׁוּב-על
OS_MAP_P13_CITY,"Bologna, Italy",بولونيا، ايطاليا,"בולוניה, איטליה"
OS_MAP_P13_DESC,"The Italian supercomputing centre CINECA provides
high performance computing and data services for
the Italian and the European research community.
For the Human Brain Project, it fosters the
federation of data and scalable compute services
to address the analytics needs of the neuroscience
community.","يوفر مركز الحوسبة الفائقة CINECA في إيطاليا
خدمات بيانات وحوسبة عالية الأداء لمجتمع البحوث
الإيطالية والأوروبية. كجزء من مشروع الدماغ
البشري، يعمل على تطوير دمج لخدمات البيانات
والحوسبة الّتي يمكن تكييفها لتلبية احتياجات
المحللين في مجتمع علم الأعصاب.","המרכז למִחשוב-על CINECA שבאיטליה מְסַפֵּק שירותי
נתונים ומחשוב עתירי-ביצועים לקהילת
המחקר האיטלקית והאירופית. במסגרת פרויקט
המוח האנושי הוא מְפַתֵּחַ איחוד נתונים
ושירותי מחשוב הניתנים להתאמה
כדי לענות על צורכי האנליטיקאים של
קהילת מדעי המוח."
OS_MAP_P14_NAME,Technical University of Denmark,الجامعة التقنية في الدنمارك,האוניברסיטה הטכנית של דנמרק
OS_MAP_P14_CITY,"Kongens Lyngby, Denmark",كونيجس لينغبي، الدنمارك,"קונגס לינגבי, דנמרק"
OS_MAP_P15_NAME,University of Debrecen,جامعة ديبريسين,אוניברסיטת דברסן
OS_MAP_P15_CITY,"Debrecen, Hungary",ديبريسين، المجر,"דברסן, הונגריה"
OS_MAP_P16_NAME,De Montfort University,جامعة دي مونتفورت,אוניברסיטת דה מונטפור
OS_MAP_P16_CITY,"Leicester, United Kingdom",ليستر، المملكة المتحدة,"לסטר, בריטניה"
OS_MAP_P17_NAME,École Normale Supérieure,كلية الدراسات المتقدمة,בית הספר ללימודים מתקדמים
OS_MAP_P17_CITY,"Paris, France",باريس، فرنسا,"פריז, צרפת"
OS_MAP_P18_NAME,The Swiss Federal Institute of Technology,المعهد الفيدرالي السويسري للتكنولوجيا,המכון השווייצרי הפדרלי לטכנולוגיה
OS_MAP_P18_CITY,"Zürich, Switzerland",زيورخ، سويسرا,"ציריך, שווייץ"
OS_MAP_P18_DESC,"CSCS is an autonomous unit of the Swiss Federal
Institute of Technology in Zurich. CSCS provides
scientists with the computing infrastructure and
expertise, from cutting-edge super-computers to a
full range of services related to HPC. ETHZ is
co-leading in HBP the High-Performance Analytics
and Computing Platform and coordinates the
“Integration and operation” WP.","CSCS هي وحدة مستقلة في المعهد الفيدرالي
السويسري للتكنولوجيا في زيوريخ. توفر هذه
الوحدة للعلماء بنية أساسية ومعرفة بالحوسبة - بدءًا
من أجهزة الكمبيوتر الفائقة الأكثر تقدمًا
إلى الخدمات من جميع الأنواع المطلوبة للحوسبة
الفائقة. في مشروع الدماغ البشري، يُعّد المعهد
أحد رواد منصة الحوسبة والتحليل عالية الأداء.
كما ينسق وحدة العمل ""الاستيعاب والتشغيل"".","CSCS היא יחידה אוטונומית של המכון השווייצרי
הפדרלי לטכנולוגיה בציריך. יחידה זו מציעה
למדענים תשתית ויֶדַע למחשוב – ממחשבי-העל
המתקדמים ביותר ועד שירותים מכל הסוגים
הנדרשים למחשוב עתיר-ביצועים. בפרויקט המוח
האנושי המכון הוא אחד ממובילי הפלטפורמה
למחשוב ולאנליטיקה עתירי-ביצועים.
כמו כן הוא מְתָאֵם את יחידת
העבודה ""הטמעה ותפעול""."
OS_MAP_P19_NAME,The Danish Board of Technology Foundation,مؤسسة المجلس الدنماركي للتكنولوجيا,קרן מועצת הטכנולוגיה הדֶּנית
OS_MAP_P19_CITY,"Hvidovre, Denmark",هفيدفري، دنمارك,"הווידורה, דנמרק"
OS_MAP_P19_DESC,"The Danish Board of Technology Foundation is part
of HBP’s ’Ethics and Society’ group, facilitating
dialogue with publics, stakeholders and the HBP on
social, ethical, legal issues related to HBP
research. The Foundations’ mission is to ensure
that society’s development is shaped by informed
and forward-looking cooperation between citizens,
experts, stakeholders, and decision-makers.","تنتمي مؤسسة المجلس الدنماركي للتكنولوجيا
إلى مجموعة ""الأخلاق والمجتمع"" لمشروع الدماغ
البشري وتشجع الحوار بين الجمهور وأصحاب الشأن
والشركاء في المشروع حول القضايا الإجتماعية والأخلاقية
والقانونية المتعلقة بأبحاث المشروع. تسعى المؤسسة
جاهدة لضمان تطور المجتمع البشري على أساس التعاون
الذكي، مع رؤية طويلة المدى، بين المواطنين
والخبراء وأصحاب المصلحة وصناع القرار.","קרן מועצת הטכנולוגיה הדֶּנית משתייכת לקבוצת
""אֶתִיקָה וחֶבְרָה"" של פרויקט המוח האנושי,
ומקדמת את השׂיח בקֶרֶב הציבור, בעלי העניין
והשותפים לפרויקט על סוגיות חברתיוֹת,
אתיוֹת ומשפטיוֹת הנוגעות למחקרי הפרויקט.
הקרן שואפת להבטיח שהחברה האנושית תתפתח על
בסיס שיתוף פעולה מושׂכל, עם ראייה לטווח ארוך,
בין אזרחים, מומחים, בעלי עניין ומקבלי החלטות."
OS_MAP_P20_NAME,Forschungszentrum Jülich,مركز الابحاث-يوليش,מרכז המחקר יוּליך
OS_MAP_P20_CITY,"Jülich, Germany",يوليش، ألمانيا,"יוליך, גרמניה"
OS_MAP_P20_DESC,"Forschungszentrum Jülich is a multi-disciplinary
research institution and member of the Helmholtz
Association. It contributes to the HBP with its
Institute of Neuroscience and Medicine and the
Jülich Supercomputing Centre. Neuroscientists and
technical experts work together to build an
infrastructure that enables high-resolution brain
atlases, multi-scale simulation and data analysis
workflows.","مركز يوليش للأبحاث هو معهد متعدد التخصصات تابع
لجمعية هيلمهولتز. يساهم المركز في مشروع
الدماغ البشري من خلال معهد الطب والأعصاب
ومن خلال مركز يوليش للحوسبة الفائقة. يبني علماء
الدماغ والخبراء الفنيون بنية أساسية لأطالس الدماغ
بدقة عالية والتصوير متعدد النطاقات وسير
العمل في تحليل البيانات.","מרכז המחקר יוּליך הוא מכון רב-תחומי המשתייך
להתאגדות הֶלמהוֹלץ. המרכז תורם לפרויקט המוח
האנושי באמצעות המכון שלו לרפואה ומדעי המוח,
ובאמצעות מרכז יוּליך למחשוּב-על.
מדעני מוח ומומחים טכניים בונים יחד תשתית
לאטלסֵי מוח ברזולוציה גבוהה, הדמיה בקני מידה רבִּים
ותהליך עבודה של ניתוח נתונים."
OS_MAP_P21_NAME,Fortiss GmbH,فورتيس GmbH,פורטיס GmbH
OS_MAP_P21_CITY,"Munich, Germany",ميونيخ، ألمانيا,"מינכן, גרמניה"
OS_MAP_P22_NAME,"Fraunhofer-Gesellschaft for the
Promotion of Applied Research","فراوهوفر- غشلشافت لتعزيز
البحوث التطبيقية","פראוהופר-גשלשאפט
לקידום מחקר יישומי"
OS_MAP_P22_CITY,"Darmstadt, Germany",دارمشتات، ألمانيا,"דרמשטט, גרמניה"
OS_MAP_P23_NAME,"Foundation Anna Sommer Champalimaud
and Dr Carlos Montez Champalimaud","مؤسسة آنا سومر شامبالمود والدكتور
كارلوس مونتز شامباليمود","קרן אנה סומר צ'מפאלימוד
וד""ר קרלוס מונטז שמפאלימוס"
OS_MAP_P23_CITY,"Lisbon, Portugal",لشبونة، البرتغال,"ליסבון, פורטוגל"
OS_MAP_P24_NAME,"Heinrich-Heine-University, Dusseldorf",جامعة هاينريش هاين ، دوسلدورف,"אוניברסיטת היינריך היינה, דיסילדורף"
OS_MAP_P24_CITY,"Düsseldorf, Germany",دوسلدورف، ألمانيا,"דיסילדורף, גרמניה"
OS_MAP_P25_NAME,University of Helsinki,جامعة هلسنكي,אוניברסיטת הלסינקי
OS_MAP_P25_CITY,"Helsinki, Finland",هلسنكي، فنلندا,"הלסינקי, פינלנד"
OS_MAP_P26_NAME,Heidelberg Institute for Theoretical Studies (HITS),معهد هايدلبرغ للبحوث النظرية,מכון היידלברג למחקר תיאורטי
OS_MAP_P26_CITY,"Heidelberg, Germany",هايدلبرغ، ألمانيا,"היידלברג, גרמניה"
OS_MAP_P26_DESC,"HITS is a private, non-profit research institute
carrying out basic multidisciplinary computational
research in fields ranging from molecular biology
to astrophysics. Rebecca Wade and her research
group are developing multiscale molecular modeling
and simulation tools in the HBP Brain Simulation
Platform, facilitating the design of new medicines
for brain diseases.","معهد هايدلبرغ للبحوث النظرية هو معهد غير
ربحي خاص يقوم بإجراء دراسات حسابية أساسية في
مجموعة واسعة من المجالات، من البيولوجيا الجزيئية
إلى الفيزياء الفلكية. تقوم ريبيكا وويد وفريقها بتطوير
أدوات محاكاة والمحاكاة الجزيئية متعددة المقاييس
ضمن منصة محاكاة الدماغ لمشروع الدماغ البشري
لتعزيز تطوير عقاقير جديدة لأمراض الدماغ.","מכון היידלברג למחקר תיאורטי הוא מכון פרטי ללא
מטרת רווח הַמְּבַצֵּעַ מחקרים חישוביים בסיסיים במגוון
רחב של תחומים, מביולוגיה מולקולרית עד אסטרופיזיקה.
רבּקה ווייד וצוות המחקר שלה מפתחים כלֵי הדמיה
ומידוּל מולקולריים בקני מידה רבּים במסגרת פלטפורמת
ההדמיה המוחית של פרויקט המוח האנושי,
כדי לקדם פיתוח תרופות חדשות למחלות מוח."
OS_MAP_P27_NAME,University Hospital Vaudois,مستشفى الجامعة فودوا,בית החולים האוניברסיטאי וודואה
OS_MAP_P27_CITY,"Lausanne, Switzerland",لوزان، سويسرا,"לוזאן, שוייץ"
OS_MAP_P28_NAME,"Imperial College of Science, Technology and Medicine",الكلية الامبراطورية للعلوم والتكنولوجيا والطب,"אימפריאל קולג' למדע, טכנולוגיה ורפואה"
OS_MAP_P28_CITY,"London, United Kingdom",لندن، المملكة المتحدة,"לונדון, בריטניה"
OS_MAP_P29_NAME,Brain and Spinal Cord Institute,معهد الدماغ والعمود الفقري,המכון למוח ולחוט השידרה
OS_MAP_P29_CITY,"Paris, France",باريس، فرنسا,"פריז, צרפת"
OS_MAP_P30_NAME,"Institute of Experimental Medicine,
Hungarian Academy of Sciences","معهد الطب التجريبي،
الأكاديمية المجرية للعلوم","המכון לרפואה ניסויית,
האקדמיה ההונגרית למדעים"
OS_MAP_P30_CITY,"Budapest, Hungary",بودابست، المجر,"בודפסט, הונגריה"
OS_MAP_P31_NAME,Institute of Science and Technology Austria (IST),معهد العلوم والتكنولوجيا في النمسا,המכון למדע וטכנולוגיה של אוסטריה
OS_MAP_P31_CITY,"Klosterneuburg, Austria",كلوسيترنيوبرغ، نمسا,"קלוסטרנויבורג, אוסטריה"
OS_MAP_P31_DESC,"IST Austria located in Klosterneuburg is a young
international institute dedicated to basic
research including neuroscience. Prof. Shigemoto’s
task in HBP project is to provide quantitative
data on number and distribution of key ion
channels and neurotransmitter receptors in
distinct membrane compartments of major principle
neurons in the brain.","معهد العلوم والتكنولوجيا في النمسا في كلوسيترنيوبرغ
هو معهد دولي أنشأ حديثًا ومخصص للبحث الأساسي،
بما في ذلك علم الدماغ. تتمثل مهمة البروفيسور
شيجاموتو في مشروع الدماغ البشري في توفير بيانات كمية
عن عدد وتوزيع القنوات الأيونية الهامة ومستقبلات الناقلات
العصبية في الخلايا العصبية الرئيسية للدماغ.","המכון למדע וטכנולוגיה של אוסטריה בקלוסטרנויבורג
הוא מכון בינלאומי שנוסד לאחרונה ומוקדש למחקר
בסיסי, בין השאר במדעי המוח.
המשימה של פרופ' שׁיגֶמוֹטוֹ בפרויקט המוח האנושי
היא לְסַפֵּק נתונים כמותיים על מספרם ופיזורם של תעלות
יוֹניוֹת חשובות ושל קולטני מוליכים עצביים
בנוירונים העיקריים במוח."
OS_MAP_P32_NAME,Jožef Stefan Institute,معهد جوزيف ستيفن,מכון ג'וזף סטפן
OS_MAP_P32_CITY,"Ljubljana, Slovenia",ليوبليانا، سلوفينيا,"לובליאנה, סלובניה"
OS_MAP_P33_NAME,"National Institute of Research
in Computer Science and Automation","المعهد الوطني للبحوث في علوم
الحاسب الآلي والأتمتة","המכון הלאומי למחקר
במדעי המחשב ואוטומציה"
OS_MAP_P33_CITY,"Sophia Antipolis, France",صوفيا انتيبوليس، فرنسا,"סופיה אנטיפוליס, צרפת"
OS_MAP_P33_DESC,"Inria performs comprehensive analyses of brain
functional organization based on exhaustive
analyses of brain imaging dataset. Inria also
contributes  an openly available brain imaging
dataset that provides a reference to study the
functional architecture of the brain, and
open-source software that make brain data analyses
easy and reproducible.","تقام في المعهد دراسات يتم فيها تحليل بيانات
من محاكاة الدماغ لفهم بنية ووظيفة الدماغ.
يوفر المعهد قواعد بيانات تتضمن بيانات
من عمليات محاكاة الدماغ المتاحة لكل مجتمع الباحثين،
وكذلك برنامج مفتوح المصدر الذي يتيح تحليل
البيانات بسهولة وبراحة.","במכון מתבצעים מחקרים בהם מנתחים מידע
המגיע מהדמיות מוח כדי להבין את מבנה
המוח ותפקודו. המכון מספק מאגרי מידע הכוללים
נתונים מהדמיות מוח הזמינים לכל קהילת החוקרים,
וכן תוכנה בקוד פתוח המאפשרת לנתח את
המידע בקלות ובנוחות."
OS_MAP_P34_NAME,Pasteur Institute,معهد باستور,מכון פסטר
OS_MAP_P34_CITY,"Paris, France",باريس، فرنسا,"פריז, צרפת"
OS_MAP_P35_NAME,"Johann Wolfgang Goethe University
Frankfurt-am-Main","يوهان فولفغانغ غوته
جامعة فرانكفورت","יוהאן וולפגנג גתה
אוניברסיטת פרנקפורט"
OS_MAP_P35_CITY,"Frankfurt-am-Main, Germany",فرانكفورت، ألمانيا,"פרנקפורט, גרמניה"
OS_MAP_P36_NAME,Karlsruher Institute for Technology,معهد كارلسروه للتكنولوجيا,המכון הטכנולוגי של קרלסרוהה
OS_MAP_P36_CITY,"Karlsruhe, Germany",كارلسروه، ألمانيا,"קרלסרוהה, גרמניה"
OS_MAP_P36_DESC,"With 9,000 employees and a budget of 800 million euros,
the KIT has become one of the world's largest research
and teaching institutions with the potential to occupy a leading
position worldwide in selected research areas.
he KIT's role in the HBP is providing and developing
the project's computing infrastructure.","أصبح معهد كارلسروه للتكنولوجيا، الذي يضم 9000 موظ
وميزانية قدرها 800 مليون يورو، واحد من أكبر
مؤسسات البحث والتدريس في العالم، ومن المقرر
أن يصبح أحد أكبر معاهد البحوث في العالم. كجزء
من ""مشروع الدماغ البشري""، يقوم المعهد بتزويد وتطوير
البنية التحتية الحاسوبية للمشروع.","המכון הטכנולוגי של קרלסרוהה, הכולל 9,000 עובדים ובעל תקציב של
800 מיליון אירו, הפך לאחד ממוסדות המחקר וההוראה הגדולים בעולם,
ומתעתד להיות אחד המובילים בעולם במספר תחומי מחקר.
כחלק מ'פרויקט המוח האנושי', המכון מספק ומפתח את התשתית
החישובית של הפרויקט."
OS_MAP_P37_NAME,Karolinska Institutet,معهد كارولينسكا,מכון קרולינסקה
OS_MAP_P37_CITY,"Stockholm, Sweden",ستوكهولم، السويد,"סטוקהולם, שבדיה"
OS_MAP_P38_NAME,King's College London,كلية كينغس،  لندن,"קינגס קולג', לונדון"
OS_MAP_P38_CITY,"London, United Kingdom",لندن، المملكة المتحدة,"לונדון, בריטניה"
OS_MAP_P39_NAME,The Royal Institute of Technology,المعهد الملكي للتكنولوجيا,המכון המלכותי לטכנולוגיה
OS_MAP_P39_CITY,"Stockholm, Sweden",ستوكهولم، السويد,"סטוקהולם, שבדיה"
OS_MAP_P40_NAME,European Non Linear Spectroscopy Laboratory,المختبر الأوروبي للتحليل الطيفي غير الخطي,המעבדה האירופית לספקטרוסקופיה לא לניארית
OS_MAP_P40_CITY,"Florence, Italy",فلورنسا، ايطاليا,"פירנצה, איטליה"
OS_MAP_P41_NAME,Linnaeus University,جامعة لينيوس,אוניברסיטת לינאוּס
OS_MAP_P41_CITY,"Kalmar, Sweden",كلمار، سويد,"קלמאר, שבדיה"
OS_MAP_P41_DESC,"At Linnaeus University Shamim Patel (ACA)
(Department of External Relations) and Dr Kim
Håkansson (Faculty of Health Life Sciences) both
work on the HBP as part of the Ethics Support
team. Shamim manages the Ethics Advisory Board and
Other Ethics Services and Kim is the HBP Animal
Research Ethics Coordinator.","من بين أعضاء هيئة التدريس في جامعة لينيوس
تم ضم المحاسبة شاميم فاتيل الى مشروع الدماغ
البشري (قسم العلاقات الخارجية) والدكتور كيم
هوكنسون (كلية علوم الحياة والصحة)، كجزء
من فريق الدعم الأخلاقي. تدير شاميم اللجنة
الاستشارية للأخلاقيات والخدمات الأخلاقية الأخرى
في حين يتولى كيم مسؤولية تنسيق مجال أخلاقيات
التجارب على الحيوانات كجزء من المشروع.","מִבֵּין חברי הסגל של אוניברסיטת לינאוּס צורפו
לפרויקט המוח האנושי רו""ח שאמים פּאטל (המחלקה לקשרי חוץ)
וד""ר קים הוקנסון (הפקולטה למדעי החיים ובריאות),
כחלק מצוות התמיכה האתית.
שאמים מנהלת את ועדת הייעוץ לענייני אתיקה
ושירותי אתיקה נוספים, וקים אחראית על תיאום
תחום האתיקה של הניסויים בבעלי חיים במסגרת הפרויקט."
OS_MAP_P42_NAME,The Medical University of Innsbruck,جامعة إنسبروك الطبية,האוניברסיטה הרפואית של אינסברוּק
OS_MAP_P42_CITY,"Innsbruck, Austria",إنسبروك، نمسا,"אינסברוק, אוסטריה"
OS_MAP_P42_DESC,"The Medical University of Innsbruck was one of the
first faculties of the University of Innsbruck,
Austria, and played an important role throughout
its 340-year history. As an HBP partner, it hosts
the interdisciplinary HBP Education Programme for
early-career researchers, supports trainings on
HBP infrastructure and coordinates HBP outreach
and engagement activities.","تأسست جامعة إنسبروك الطبية، في النمسا، كواحدة
من أولى كليات الجامعة وقد لعبت دورًا مهمًا
منذ تأسيسها قبل 340 عامًا. كشريكة في مشروع الدماغ
البشري، تستضيف الجامعة برنامج التعليم متعدد التخصصات
للباحثين الأوائل وتدعم التدريب الذي يتم
من خلال البنية التحتية للمشروع وتنسق
الأنشطة المتعلقة بالمشروع لتعزيز مشاركة
الجمهور واندماجه بالمشروع.","האוניברסיטה הרפואית של אינסברוק שבאוסטריה
נוסדה כאחת הפקולטות הראשונות של האוניברסיטה,
וממלאת בה תפקיד חשוב מאז היווסדה לפני 340 שנה.
כשותפה בפרויקט המוח האנושי האוניברסיטה מארחת את
תוכנית החינוך הרב-תחומית לחוקרים בראשית דרכם,
תומכת בהכשרות המתבצעות באמצעות תשתיות
הפרויקט ומתאמת פעילויות הקשורות בפרויקט לקידום
השתתפות הציבור ומעורבותו."
OS_MAP_P43_NAME,National and Kapodistrian University of Athens,جامعة كابوديستريان الوطنية بأثينا,האוניברסיטה הלאומית והקאפודיסטית של אתונה
OS_MAP_P43_CITY,"Athens, Greece",أثينا، اليونان,"אתונה, יוון"
OS_MAP_P44_NAME,The Norwegian University of Life Sciences,الجامعة النرويجية لعلوم الحياة,האוניברסיטה הנורבגית למדעי החיים
OS_MAP_P44_CITY,"Ås, Norway",ويس، نرويج,"ווס, נורבגיה"
OS_MAP_P44_DESC,"The Computational Neuroscience Group at the
Norwegian University of Life Sciences (NMBU)
develops simulation technology for brain-scale
network simulations on supercomputers as well as
methods and tools to compute brain signals such as
EEG and MEG from simulations for direct comparison
to experiments.","تقوم مجموعة علوم الدماغ المحوسبة في الجامعة
النرويجية لعلوم الحياة (NMBU) بتطوير تقنيات لمحاكاة
الشبكات العصبية على نطاق الدماغ باستخدام أجهزة
الكمبيوتر الفائقة، بالإضافة الى أساليب وأدوات للمعالجة
المحوسبة لإشارات الدماغ مثل التخطيط الكهربائي للدماغ-EEG
وتخطيط الدماغ المغناطيسي- MEG، استنادًا إلى المحاكاة،
للمقارنة المباشرة بين التجارب.","קבוצת מדעי המוח החישוביים באוניברסיטת נורבגיה
למדעי החיים (NMBU) מפתחת טכנולוגיות להדמיה
של רשתות עצביות בסדר גודל הקיים במוח באמצעות
מחשבי-על, וכן שיטות וכלים לעיבוד ממוחשב של
אותות מוחיים כגון EEG ו-MEG, על בסיס
הדמיוֹת, לצורך השוואה ישירה לניסויים."
OS_MAP_P45_NAME,Austrian Research Society for Cybernetics,الجمعية البحثية النمساوية لعلم التحكم الآلي,החברה האוסטרית לחקר הקיברנטיקה
OS_MAP_P45_CITY,"Vienna, Austria",فيينا، النمسا,"וינה, אוסטריה"
OS_MAP_P46_NAME,"Rheinisch-Westfälische
Technical University of Aachen","جامعة آخن راينش
فيستفالش التقنية","האוניברסיטה הטכנית רייניש-ווסטפאליש
של אאכן"
OS_MAP_P46_CITY,"Aachen, Germany",آخن، ألمانيا,"אאכן, גרמניה"
